,time,ETH Price,ETH Owned,ETH Value,Cash,percent cash,Portfolio Value
2017-11-09 00:00:00+00:00,2017-11-09 00:00:00+00:00,320.8840026855469,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-10 00:00:00+00:00,2017-11-10 00:00:00+00:00,299.25299072265625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-11 00:00:00+00:00,2017-11-11 00:00:00+00:00,314.6809997558594,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-12 00:00:00+00:00,2017-11-12 00:00:00+00:00,307.9079895019531,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-13 00:00:00+00:00,2017-11-13 00:00:00+00:00,316.71600341796875,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-14 00:00:00+00:00,2017-11-14 00:00:00+00:00,337.6310119628906,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-15 00:00:00+00:00,2017-11-15 00:00:00+00:00,333.35699462890625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-16 00:00:00+00:00,2017-11-16 00:00:00+00:00,330.92401123046875,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-17 00:00:00+00:00,2017-11-17 00:00:00+00:00,332.3940124511719,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-18 00:00:00+00:00,2017-11-18 00:00:00+00:00,347.61199951171875,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-19 00:00:00+00:00,2017-11-19 00:00:00+00:00,354.385986328125,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-20 00:00:00+00:00,2017-11-20 00:00:00+00:00,366.7300109863281,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-21 00:00:00+00:00,2017-11-21 00:00:00+00:00,360.4010009765625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-22 00:00:00+00:00,2017-11-22 00:00:00+00:00,380.6520080566406,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-23 00:00:00+00:00,2017-11-23 00:00:00+00:00,410.1659851074219,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-24 00:00:00+00:00,2017-11-24 00:00:00+00:00,474.9110107421875,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-25 00:00:00+00:00,2017-11-25 00:00:00+00:00,466.2760009765625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-26 00:00:00+00:00,2017-11-26 00:00:00+00:00,471.3299865722656,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-27 00:00:00+00:00,2017-11-27 00:00:00+00:00,480.3550109863281,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-28 00:00:00+00:00,2017-11-28 00:00:00+00:00,472.9020080566406,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-29 00:00:00+00:00,2017-11-29 00:00:00+00:00,427.52301025390625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-11-30 00:00:00+00:00,2017-11-30 00:00:00+00:00,447.114013671875,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,466.5400085449219,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-02 00:00:00+00:00,2017-12-02 00:00:00+00:00,463.4490051269531,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-03 00:00:00+00:00,2017-12-03 00:00:00+00:00,465.8529968261719,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-04 00:00:00+00:00,2017-12-04 00:00:00+00:00,470.2040100097656,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-05 00:00:00+00:00,2017-12-05 00:00:00+00:00,463.281005859375,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-06 00:00:00+00:00,2017-12-06 00:00:00+00:00,428.5880126953125,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-07 00:00:00+00:00,2017-12-07 00:00:00+00:00,434.4079895019531,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-08 00:00:00+00:00,2017-12-08 00:00:00+00:00,456.031005859375,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-09 00:00:00+00:00,2017-12-09 00:00:00+00:00,473.50201416015625,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-10 00:00:00+00:00,2017-12-10 00:00:00+00:00,441.72100830078125,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-11 00:00:00+00:00,2017-12-11 00:00:00+00:00,515.135986328125,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-12 00:00:00+00:00,2017-12-12 00:00:00+00:00,651.4310302734375,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-13 00:00:00+00:00,2017-12-13 00:00:00+00:00,702.7670288085938,0.0,0.0,99794.92483520508,1.0,99794.92483520508
2017-12-14 00:00:00+00:00,2017-12-14 00:00:00+00:00,695.8159790039062,0.0,0.0,99794.92483520508,1.0,99794.92483520508
